text,category_1,category_2
believe-in-yourself,good sisu,Spiritual
believe-in-yourself,good sisu,Spiritual
open-minded,good sisu,Spiritual
power,good sisu,Spiritual
persistance,good sisu,Spiritual
courageous,good sisu,Spiritual
heroic,good sisu,Spiritual
courage,good sisu,Spiritual
confident,good sisu,Spiritual
confidencefearless,good sisu,Spiritual
calm,good sisu,Spiritual
strong,good sisu,Spiritual
strength,good sisu,Spiritual
gentle,good sisu,Relationship
extraordinary,good sisu,Spiritual
perserverance,good sisu,Spiritual
integrity,good sisu,Spiritual
guts,good sisu,Spiritual
will,good sisu,Spiritual
consistent,good sisu,Spiritual
challenge,good sisu,Spiritual
magic,good sisu,Spiritual
determination,good sisu,Spiritual
victory,good sisu,Spiritual
future,good sisu,Spiritual
past,good sisu,Spiritual
grow,good sisu,Spiritual
learn,good sisu,Spiritual
relationship,good sisu,Relationship
healthy,good sisu,Spiritual
consciousness,good sisu,Spiritual
positivity,good sisu,Spiritual
honest,good sisu,Spiritual
attitude,good sisu,Spiritual
motivated,good sisu,Spiritual
proud,good sisu,Spiritual
pride,good sisu,Spiritual
energy,good sisu,Spiritual
resilience,good sisu,Spiritual
better,good sisu,Spiritual
positivity,good sisu,Spiritual
compromise,good sisu,Spiritual
kind,good sisu,Relationship
gratitude,good sisu,Spiritual
persevere,good sisu,Spiritual
persist,good sisu,Spiritual
caring,good sisu,Relationship
beauty,good sisu,Spiritual
improve,good sisu,Spiritual
healthy-living,good sisu,Spiritual
motivational,good sisu,Spiritual
Positive,good sisu,Spiritual
wise,good sisu,Spiritual
Powerful,good sisu,Spiritual
Good,good sisu,Spiritual
Better,good sisu,Spiritual
Integrity,good sisu,Spiritual
Self,good sisu,Spiritual
self,good sisu,Spiritual
honesty,good sisu,Spiritual
problem-solving,good sisu,Spiritual
leadership,good sisu,Spiritual
humility,good sisu,Spiritual
Discipline,good sisu,Spiritual
Moving Forward,good sisu,Spiritual
Mind,good sisu,Spiritual
self-motivation,good sisu,Spiritual
passion,good sisu,Spiritual
Wise,good sisu,Spiritual
Kindness,good sisu,Relationship
independent,good sisu,Spiritual
peace,good sisu,Spiritual
Gratitude,good sisu,Spiritual
enthusiasm,good sisu,Spiritual
hope,good sisu,Spiritual
hospitality,good sisu,Spiritual
optimistic,good sisu,Spiritual
Patient,good sisu,Spiritual
self-improvement,good sisu,Spiritual
personal-development,good sisu,Spiritual
self-awareness,good sisu,Spiritual
spiritual,good sisu,Spiritual
trust,good sisu,Spiritual
yourself,good sisu,Spiritual
victory,good sisu,Spiritual
gut-feelings,good sisu,Spiritual
gut-awareness,good sisu,Spiritual
gut-instincts,good sisu,Spiritual
self-esteem,good sisu,Spiritual
self-reflection,good sisu,Spiritual
perspective,good sisu,Spiritual
courage,good sisu,Relationship
answerable,good sisu,Relationship
reporting,good sisu,Relationship
responsible,good sisu,Relationship
obeying,good sisu,Relationship
subject,good sisu,Relationship
bound by,good sisu,Relationship
bound to obey,good sisu,Relationship
under the charge of,good sisu,Relationship
live,good sisu,Spiritual
exist,good sisu,Spiritual
endure,good sisu,Spiritual
prevail,good sisu,Spiritual
subsist,good sisu,Spiritual
persist,good sisu,Spiritual
be,good sisu,Spiritual
last,good sisu,Spiritual
remain,good sisu,Spiritual
fight for your life,good sisu,Spiritual
live on,good sisu,Spiritual
remain alive,good sisu,Spiritual
stay alive,good sisu,Spiritual
sustain oneself,good sisu,Spiritual
cling to life,good sisu,Spiritual
have life,good sisu,Spiritual
be alive,good sisu,Spiritual
be animate,good sisu,Spiritual
be in this world,good sisu,Spiritual
carry on,good sisu,Spiritual
walk the earth,good sisu,Spiritual
be extant,good sisu,Spiritual
draw breath,good sisu,Spiritual
have being,good sisu,Spiritual
stay around,good sisu,Spiritual
sustain life,good sisu,Spiritual
be in the land of the living,good sisu,Spiritual
cheat death,good sisu,Spiritual
escape death,good sisu,Spiritual
evade death,good sisu,Spiritual
hold on,good sisu,Spiritual
hold out,good sisu,Spiritual
keep afloat,good sisu,Spiritual
make it,good sisu,Spiritual
keep body and soul together,good sisu,Spiritual
keep your head above water,good sisu,Spiritual
existence,good sisu,Spiritual
viability,good sisu,Spiritual
being,good sisu,Spiritual
persistence,good sisu,Spiritual
staying alive,good sisu,Spiritual
subsistence,good sisu,Spiritual
being alive,good sisu,Spiritual
life span,good sisu,Spiritual
continued existence,good sisu,Spiritual
holding on to life,good sisu,Spiritual
life,good sisu,Spiritual
continuance,good sisu,Spiritual
essence,good sisu,Spiritual
animation,good sisu,Spiritual
presence,good sisu,Spiritual
breath,good sisu,Spiritual
consciousness,good sisu,Spiritual
sentience,good sisu,Spiritual
personage,good sisu,Spiritual
aliveness,good sisu,Spiritual
animateness,good sisu,Spiritual
creation,good sisu,Spiritual
growth,good sisu,Spiritual
actuality,good sisu,Spiritual
reality,good sisu,Spiritual
continuation,good sisu,Spiritual
corporality,good sisu,Spiritual
corporeality,good sisu,Spiritual
fact,good sisu,Spiritual
personhood,good sisu,Spiritual
beinghood,good sisu,Spiritual
living,good sisu,Spiritual
existing,good sisu,Spiritual
perseverance,good sisu,Spiritual
permanence,good sisu,Spiritual
journey,good sisu,Spiritual
esse,good sisu,Spiritual
quiddity,good sisu,Spiritual
individuality,good sisu,Spiritual
thingness,good sisu,Spiritual
continued survival,good sisu,Spiritual
impalpable,good sisu,Spiritual
imperceptible,good sisu,Spiritual
indistinguishable,good sisu,Spiritual
slight,good sisu,Spiritual
minute,good sisu,Spiritual
undetectable,good sisu,Spiritual
small,good sisu,Spiritual
fine,good sisu,Spiritual
inappreciable,good sisu,Spiritual
indiscernible,good sisu,Spiritual
unnoticeable,good sisu,Spiritual
indistinct,good sisu,Spiritual
faint,good sisu,Spiritual
unapparent,good sisu,Spiritual
inconspicuous,good sisu,Spiritual
indefinite,good sisu,Spiritual
vague,good sisu,Spiritual
unperceivable,good sisu,Spiritual
imperceivable,good sisu,Spiritual
illusive,good sisu,Spiritual
tenuous,good sisu,Spiritual
elusive,good sisu,Spiritual
implied,good sisu,Spiritual
sheer,good sisu,Spiritual
undistinguishable,good sisu,Spiritual
attenuate,good sisu,Spiritual
ethereal,good sisu,Spiritual
inferred,good sisu,Spiritual
attenuated,good sisu,Spiritual
thin,good sisu,Spiritual
barely visible,good sisu,Spiritual
hard to make out,good sisu,Spiritual
dedication,good sisu,Spiritual
determination,good sisu,Spiritual
diligence,good sisu,Spiritual
persistence,good sisu,Spiritual
resoluteness,good sisu,Spiritual
resolve,good sisu,Spiritual
application,good sisu,Spiritual
commitment,good sisu,Spiritual
devotion,good sisu,Spiritual
doggedness,good sisu,Spiritual
drive,good sisu,Spiritual
obstinacy,good sisu,Spiritual
pertinacity,good sisu,Spiritual
purposefulness,good sisu,Spiritual
resolution,good sisu,Spiritual
steadfastness,good sisu,Spiritual
tenacity,good sisu,Spiritual
assiduity,good sisu,Spiritual
assiduousness,good sisu,Spiritual
endurance,good sisu,Spiritual
grit,good sisu,Spiritual
indefatigability,good sisu,Spiritual
sedulity,good sisu,Spiritual
sedulousness,good sisu,Spiritual
stamina,good sisu,Spiritual
constancy,good sisu,Spiritual
continuance,good sisu,Spiritual
intransigence,good sisu,Spiritual
patience,good sisu,Spiritual
perseveration,good sisu,Spiritual
purpose,good sisu,Spiritual
stubbornness,good sisu,Spiritual
tirelessness,good sisu,Spiritual
backbone,good sisu,Spiritual
guts,good sisu,Spiritual
immovability,good sisu,Spiritual
insistence,good sisu,Spiritual
moxie,good sisu,Spiritual
pluck,good sisu,Spiritual
spunk,good sisu,Spiritual
stickability,good sisu,Spiritual
pursuance,good sisu,Spiritual
Sitzfleisch,good sisu,Spiritual
firmness of purpose,good sisu,Spiritual
staying power,good sisu,Spiritual
stick-to-itiveness,good sisu,Spiritual
stick-to-it-iveness,good sisu,Spiritual
firmness,good sisu,Spiritual
obduracy,good sisu,Spiritual
relentlessness,good sisu,Spiritual
fortitude,good sisu,Spiritual
indomitability,good sisu,Spiritual
obdurateness,good sisu,Spiritual
inflexibility,good sisu,Spiritual
bullheadedness,good sisu,Spiritual
mulishness,good sisu,Spiritual
single-mindedness,good sisu,Spiritual
pigheadedness,good sisu,Spiritual
contumacy,good sisu,Spiritual
implacability,good sisu,Spiritual
inexorability,good sisu,Spiritual
inexorableness,good sisu,Spiritual
earnestness,good sisu,Spiritual
intransigency,good sisu,Spiritual
rigidity,good sisu,Spiritual
adamancy,good sisu,Spiritual
grimness,good sisu,Spiritual
steadiness,good sisu,Spiritual
inflexibleness,good sisu,Spiritual
courage,good sisu,Spiritual
toughness,good sisu,Spiritual
implacableness,good sisu,Spiritual
rigidness,good sisu,Spiritual
pertinaciousness,good sisu,Spiritual
staunchness,good sisu,Spiritual
heart,good sisu,Spiritual
die-hardism,good sisu,Spiritual
willpower,good sisu,Spiritual
incompliance,good sisu,Spiritual
tenaciousness,good sisu,Spiritual
incompliancy,good sisu,Spiritual
mettle,good sisu,Spiritual
spine,good sisu,Spiritual
strength,good sisu,Spiritual
intentness,good sisu,Spiritual
will,good sisu,Spiritual
remorselessness,good sisu,Spiritual
spirit,good sisu,Spiritual
decisiveness,good sisu,Spiritual
pluckiness,good sisu,Spiritual
decidedness,good sisu,Spiritual
strong-mindedness,good sisu,Spiritual
bravery,good sisu,Spiritual
zeal,good sisu,Spiritual
will power,good sisu,Spiritual
determinedness,good sisu,Spiritual
courageousness,good sisu,Spiritual
survivors,good sisu,Spiritual
odds,bad sisu,Spiritual
strive for,good sisu,Spiritual
fullfilling,good sisu,Spiritual
not honour,bad sisu,Spiritual
overextend,bad sisu,Spiritual
not care,bad sisu,Spiritual
care,good sisu,Spiritual
downward,bad sisu,Spiritual
overachieving,bad sisu,Spiritual
reflect,good sisu,Spiritual
not reflect,bad sisu,Spiritual
overusing,bad sisu,Spiritual
pressure,bad sisu,Spiritual
hard on yourself,bad sisu,Spiritual
overspending,bad sisu,Spiritual
lack of connection,bad sisu,Spiritual
goal,good sisu,Spiritual
sisukas,good sisu,Spiritual
toxic sisu,bad sisu,Spiritual
ego,bad sisu,Spiritual
good healthy sisu,good sisu,Spiritual
cross yourself,good sisu,Spiritual
cross ourselves,good sisu,Spiritual
behave,good sisu,Spiritual
practice,good sisu,Spiritual
honour,good sisu,Spiritual
gentle,good sisu,Spiritual
hear ourselves,good sisu,Spiritual
negative,bad sisu,Spiritual
harm,bad sisu,Spiritual
subtle,good sisu,Spiritual
attuned,good sisu,Spiritual
be in tune with,good sisu,Spiritual
balanced,good sisu,Spiritual
foresight,good sisu,Spiritual
forethought,good sisu,Spiritual
caution,good sisu,Spiritual
care,good sisu,Spiritual
prudence,good sisu,Spiritual
circumspection,good sisu,Spiritual
prescience,good sisu,Spiritual
providence,good sisu,Spiritual
carefulness,good sisu,Spiritual
discretion,good sisu,Spiritual
precaution,good sisu,Spiritual
awareness,good sisu,Spiritual
canniness,good sisu,Spiritual
vigilance,good sisu,Spiritual
clairvoyance,good sisu,Spiritual
vision,good sisu,Spiritual
farsightedness,good sisu,Spiritual
watchfulness,good sisu,Spiritual
anticipation,good sisu,Spiritual
foresightedness,good sisu,Spiritual
insight,good sisu,Spiritual
judiciousness,good sisu,Spiritual
planning,good sisu,Spiritual
discernment,good sisu,Spiritual
perception,good sisu,Spiritual
provision,good sisu,Spiritual
foreknowledge,good sisu,Spiritual
premeditation,good sisu,Spiritual
attentiveness,good sisu,Spiritual
premonition,good sisu,Spiritual
discreetness,good sisu,Spiritual
prevision,good sisu,Spiritual
economy,good sisu,Spiritual
penetration,good sisu,Spiritual
preconception,good sisu,Spiritual
forehandedness,good sisu,Spiritual
divination,good sisu,Spiritual
sagacity,good sisu,Spiritual
perspicacity,good sisu,Spiritual
readiness,good sisu,Spiritual
preparedness,good sisu,Spiritual
discrimination,good sisu,Spiritual
precognition,good sisu,Spiritual
prospect,good sisu,Spiritual
prophecy,good sisu,Spiritual
hindsight,good sisu,Spiritual
prenotion,good sisu,Spiritual
forward planning,good sisu,Spiritual
long-sightedness,good sisu,Spiritual
presence of mind,good sisu,Spiritual
intuition,good sisu,Spiritual
inner work,good sisu,Spiritual
pushy,bad sisu,Spiritual
assertive,bad sisu,Spiritual
brash,bad sisu,Spiritual
forward,bad sisu,Spiritual
ambitious,bad sisu,Spiritual
bold,bad sisu,Spiritual
obtrusive,bad sisu,Spiritual
officious,bad sisu,Spiritual
presumptuous,bad sisu,Spiritual
aggressive,bad sisu,Spiritual
bumptious,bad sisu,Spiritual
forceful,bad sisu,Spiritual
intrusive,bad sisu,Spiritual
self-assertive,bad sisu,Spiritual
thrusting,bad sisu,Spiritual
arrogant,bad sisu,Spiritual
bossy,bad sisu,Spiritual
busy,bad sisu,Spiritual
cocksure,bad sisu,Spiritual
confident,bad sisu,Spiritual
domineering,bad sisu,Spiritual
interfering,bad sisu,Spiritual
intruding,bad sisu,Spiritual
loud,bad sisu,Spiritual
meddlesome,bad sisu,Spiritual
meddling,bad sisu,Spiritual
nosey,bad sisu,Spiritual
nosy,bad sisu,Spiritual
over-assertive,bad sisu,Spiritual
overbearing,bad sisu,Spiritual
overconfident,bad sisu,Spiritual
presuming,bad sisu,Spiritual
protrusive,bad sisu,Spiritual
prying,bad sisu,Spiritual
snoopy,bad sisu,Spiritual
cocky,bad sisu,Spiritual
impertinent,bad sisu,Spiritual
obnoxious,bad sisu,Spiritual
offensive,bad sisu,Spiritual
pushful,bad sisu,Spiritual
go-ahead,bad sisu,Spiritual
insistent,bad sisu,Spiritual
loudmouthed,bad sisu,Spiritual
nervy,bad sisu,Spiritual
strident,bad sisu,Spiritual
full of oneself,bad sisu,Spiritual
pushing,bad sisu,Spiritual
honesty,good sisu,Spiritual
honest,good sisu,Spiritual
truthful,good sisu,Spiritual
forthright,good sisu,Spiritual
open,good sisu,Spiritual
sincere,good sisu,Spiritual
believable,good sisu,Spiritual
factual,good sisu,Spiritual
plain-speaking,good sisu,Spiritual
plain-spoken,good sisu,Spiritual
veracious,good sisu,Spiritual
frank,good sisu,Spiritual
candid,good sisu,Spiritual
upfront,good sisu,Spiritual
straight,good sisu,Spiritual
trustworthy,good sisu,Spiritual
genuine,good sisu,Spiritual
straightforward,good sisu,Spiritual
faithful,good sisu,Spiritual
reliable,good sisu,Spiritual
free-spoken,good sisu,Spiritual
round,good sisu,Spiritual
unfeigned,good sisu,Spiritual
proper,good sisu,Spiritual
veritable,good sisu,Spiritual
kosher,good sisu,Spiritual
literal,good sisu,Spiritual
scrupulous,good sisu,Spiritual
ingenuous,good sisu,Spiritual
realistic,good sisu,Spiritual
unreserved,good sisu,Spiritual
truth-telling,good sisu,Spiritual
legit,good sisu,Spiritual
precise,good sisu,Spiritual
on the level,good sisu,Spiritual
just,good sisu,Spiritual
guileless,good sisu,Spiritual
righteous,good sisu,Spiritual
real,good sisu,Spiritual
plainspoken,good sisu,Spiritual
trustworthy,good sisu,Spiritual
moral,good sisu,Spiritual
upright,good sisu,Spiritual
righteous,good sisu,Spiritual
scrupulous,good sisu,Spiritual
virtuous,good sisu,Spiritual
good,good sisu,Spiritual
reputable,good sisu,Spiritual
stand-up,good sisu,Spiritual
decent,good sisu,Spiritual
ethical,good sisu,Spiritual
guileless,good sisu,Spiritual
high-minded,good sisu,Spiritual
honourableUK,good sisu,Spiritual
veracious,good sisu,Spiritual
conscientious,good sisu,Spiritual
dependable,good sisu,Spiritual
faithful,good sisu,Spiritual
incorruptible,good sisu,Spiritual
law-abiding,good sisu,Spiritual
loyal,good sisu,Spiritual
morally correct,good sisu,Spiritual
principled,good sisu,Spiritual
reliable,good sisu,Spiritual
respectable,good sisu,Spiritual
right-minded,good sisu,Spiritual
upstanding,good sisu,Spiritual
love,good sisu,Relationship
appreciate,good sisu,Relationship
adore,good sisu,Relationship
dote,good sisu,Relationship
enjoy,good sisu,Relationship
fancy,good sisu,Relationship
like,good sisu,Relationship
admire,good sisu,Relationship
doting,good sisu,Relationship
find irresistible,good sisu,Relationship
prefer,good sisu,Relationship
venerate,good sisu,Relationship
adulate,good sisu,Relationship
care for,good sisu,Relationship
choose,good sisu,Relationship
feel deep affection for,good sisu,Relationship
be attracted to,good sisu,Relationship
be besotted with,good sisu,Relationship
be devoted to,good sisu,Relationship
be infatuated with,good sisu,Relationship
be keen on,good sisu,Relationship
be mad about,good sisu,Relationship
be nuts about,good sisu,Relationship
be partial to,good sisu,Relationship
be passionate about,good sisu,Relationship
be potty about,good sisu,Relationship
be smitten with,good sisu,Relationship
be wild about,good sisu,Relationship
care very much for,good sisu,Relationship
carry a torch for,good sisu,Relationship
esteem,good sisu,Relationship
feel affection,good sisu,Relationship
feel affection for,good sisu,Relationship
go for,good sisu,Relationship
have a pash on,good sisu,Relationship
hold very dear,good sisu,Relationship
leaning,good sisu,Relationship
overindulge,good sisu,Relationship
prize,good sisu,Relationship
be addicted to,good sisu,Relationship
be attached to,good sisu,Relationship
be captivated by,good sisu,Relationship
become infatuated with,good sisu,Relationship
become smitten with,good sisu,Relationship
be crazy about,good sisu,Relationship
be enamored of,good sisu,Relationship
be enchanted by,good sisu,Relationship
be fascinated with,good sisu,Relationship
be fond of,good sisu,Relationship
be hooked on,good sisu,Relationship
be in love with,good sisu,Relationship
be mad for,good sisu,Relationship
besotted with,good sisu,Relationship
be swept off one's feet by,good sisu,Relationship
be taken with,good sisu,Relationship
bewitched by,good sisu,Relationship
bowled over by,good sisu,Relationship
captivated by,good sisu,Relationship
carrying a torch for,good sisu,Relationship
consumed with desire for,good sisu,Relationship
crazy about,good sisu,Relationship
delight in,good sisu,Relationship
derive great pleasure from,good sisu,Relationship
develop a crush on,good sisu,Relationship
devoted to,good sisu,Relationship
dote on,good sisu,Relationship
doting on,good sisu,Relationship
enjoy greatly,good sisu,Relationship
enthralled by,good sisu,Relationship
entranced by,good sisu,Relationship
fall for,good sisu,Relationship
fall head over heels in love with,good sisu,Relationship
get a buzz from of,good sisu,Relationship
get a buzz out of,good sisu,Relationship
get a kick from of,good sisu,Relationship
get a kick out of,good sisu,Relationship
get off on,good sisu,Relationship
give one's heart to,good sisu,Relationship
go a bundle on,good sisu,Relationship
gone on,good sisu,Relationship
have affection for,good sisu,Relationship
have a great liking for,good sisu,Relationship
have a passion for,good sisu,Relationship
have a penchant for,good sisu,Relationship
have a predilection for,good sisu,Relationship
have a proclivity for,good sisu,Relationship
have a soft spot for,good sisu,Relationship
have a taste for,good sisu,Relationship
have a thing about,good sisu,Relationship
have a thing for,good sisu,Relationship
have a weakness for,good sisu,Relationship
have it bad,good sisu,Relationship
hold dear,good sisu,Relationship
infatuated with,good sisu,Relationship
like very much,good sisu,Relationship
long for,good sisu,Relationship
lose one's heart to,good sisu,Relationship
love-struck by,good sisu,Relationship
mad about,good sisu,Relationship
nuts about,good sisu,Relationship
passionate about,good sisu,Relationship
potty about,good sisu,Relationship
put on pedestal,good sisu,Relationship
really like,good sisu,Relationship
smitten with,good sisu,Relationship
take a fancy to,good sisu,Relationship
take great pleasure in,good sisu,Relationship
take pleasure in,good sisu,Relationship
think the world of,good sisu,Relationship
thoroughly enjoy,good sisu,Relationship
thrive with,good sisu,Relationship
twitterpated by,good sisu,Relationship
very much like,good sisu,Relationship
wild about,good sisu,Relationship
wild for,good sisu,Relationship
with a passion for,good sisu,Relationship
feast on,good sisu,Relationship
indulge in,good sisu,Relationship
luxuriate in,good sisu,Relationship
rejoice in,good sisu,Relationship
wuv,good sisu,Relationship
luv,good sisu,Relationship
relish,good sisu,Relationship
cherish,good sisu,Relationship
faith,good sisu,Relationship
trust,good sisu,Relationship
confidence,good sisu,Relationship
credence,good sisu,Relationship
conviction,good sisu,Relationship
devotion,good sisu,Relationship
devotedness,good sisu,Relationship
hope,good sisu,Relationship
belief,good sisu,Relationship
dependence,good sisu,Relationship
expectation,good sisu,Relationship
loyalty,good sisu,Relationship
commitment,good sisu,Relationship
dedication,good sisu,Relationship
faithfulness,good sisu,Relationship
fidelity,good sisu,Relationship
hopefulness,good sisu,Relationship
optimism,good sisu,Relationship
allegiance,good sisu,Relationship
assurance,good sisu,Relationship
constancy,good sisu,Relationship
fealty,good sisu,Relationship
piety,good sisu,Relationship
reliance,good sisu,Relationship
steadfastness,good sisu,Relationship
stock,good sisu,Relationship
troth,good sisu,Relationship
acceptance,good sisu,Relationship
attachment,good sisu,Relationship
certitude,good sisu,Relationship
credit,good sisu,Relationship
credulity,good sisu,Relationship
store,good sisu,Relationship
sureness,good sisu,Relationship
surety,good sisu,Relationship
adhesion,good sisu,Relationship
assent,good sisu,Relationship
certainty,good sisu,Relationship
entrustment,good sisu,Relationship
fastness,good sisu,Relationship
adherence,good sisu,Relationship
staunchness,good sisu,Relationship
