text,category_1,category_2
verity,good sisu,Spiritual
virtuousness,good sisu,Spiritual
reputability,good sisu,Spiritual
scrupulousness,good sisu,Spiritual
upstandingness,good sisu,Spiritual
candour,good sisu,Spiritual
candor,good sisu,Spiritual
forthrightness,good sisu,Spiritual
good character,good sisu,Spiritual
high-mindedness,good sisu,Spiritual
honestness,good sisu,Spiritual
honorableness,good sisu,Spiritual
incorruption,good sisu,Spiritual
noble-mindedness,good sisu,Spiritual
reliability,good sisu,Spiritual
right-mindedness,good sisu,Spiritual
rightness,good sisu,Spiritual
sportsmanship,good sisu,Spiritual
truth,good sisu,Spiritual
straightforwardness,good sisu,Spiritual
entrepreneurial,good sisu,Spiritual
go-ahead,good sisu,Spiritual
enterprising,good sisu,Spiritual
energetic,good sisu,Spiritual
vigorous,good sisu,Spiritual
driven,good sisu,Spiritual
dynamic,good sisu,Spiritual
enthusiastic,good sisu,Spiritual
spirited,good sisu,Spiritual
ambitious,good sisu,Spiritual
progressive,good sisu,Spiritual
bold,good sisu,Spiritual
vital,good sisu,Spiritual
resourceful,good sisu,Spiritual
adventurous,good sisu,Spiritual
audacious,good sisu,Spiritual
courageous,good sisu,Spiritual
daring,good sisu,Spiritual
intrepid,good sisu,Spiritual
gumptious,good sisu,Spiritual
go-getting,good sisu,Spiritual
high-powered,good sisu,Spiritual
aggressive,good sisu,Spiritual
assertive,good sisu,Spiritual
pushy,good sisu,Spiritual
militant,good sisu,Spiritual
fierce,good sisu,Spiritual
diligent,good sisu,Spiritual
industrious,good sisu,Spiritual
eager,good sisu,Spiritual
humanity,good sisu,Spiritual
compassion,good sisu,Spiritual
kindness,good sisu,Spiritual
charity,good sisu,Spiritual
benevolence,good sisu,Spiritual
sympathy,good sisu,Spiritual
kindliness,good sisu,Spiritual
pity,good sisu,Spiritual
mercy,good sisu,Spiritual
tenderness,good sisu,Spiritual
kindheartedness,good sisu,Spiritual
understanding,good sisu,Spiritual
feeling,good sisu,Spiritual
commiseration,good sisu,Spiritual
warmheartedness,good sisu,Spiritual
humaneness,good sisu,Spiritual
heart,good sisu,Spiritual
softheartedness,good sisu,Spiritual
consideration,good sisu,Spiritual
tolerance,good sisu,Spiritual
generosity,good sisu,Spiritual
goodwill,good sisu,Spiritual
ruth,good sisu,Spiritual
bigheartedness,good sisu,Spiritual
altruism,good sisu,Spiritual
benignity,good sisu,Spiritual
empathy,good sisu,Spiritual
magnanimity,good sisu,Spiritual
leniency,good sisu,Spiritual
largeheartedness,good sisu,Spiritual
gentleness,good sisu,Spiritual
goodness,good sisu,Spiritual
philanthropy,good sisu,Spiritual
mercifulness,good sisu,Spiritual
amity,good sisu,Spiritual
friendship,good sisu,Spiritual
kind-heartedness,good sisu,Spiritual
good-heartedness,good sisu,Spiritual
fellow feeling,good sisu,Spiritual
brotherly love,good sisu,Spiritual
concern,good sisu,Spiritual
clemency,good sisu,Spiritual
beneficence,good sisu,Spiritual
indulgence,good sisu,Spiritual
liberality,good sisu,Spiritual
grace,good sisu,Spiritual
tender-heartedness,good sisu,Spiritual
tenderheartedness,good sisu,Spiritual
warmth,good sisu,Spiritual
charitableness,good sisu,Spiritual
care,good sisu,Spiritual
forbearance,good sisu,Spiritual
warm-heartedness,good sisu,Spiritual
sensitivity,good sisu,Spiritual
thoughtfulness,good sisu,Spiritual
compassionateness,good sisu,Spiritual
benignancy,good sisu,Spiritual
love,good sisu,Spiritual
lenity,good sisu,Spiritual
mildness,good sisu,Spiritual
patience,good sisu,Spiritual
forgiveness,good sisu,Spiritual
unselfishness,good sisu,Spiritual
lenience,good sisu,Spiritual
friendliness,good sisu,Spiritual
affection,good sisu,Spiritual
decency,good sisu,Spiritual
quarter,good sisu,Spiritual
softness,good sisu,Spiritual
liberalness,good sisu,Spiritual
humanitarianism,good sisu,Spiritual
good will,good sisu,Spiritual
soft-heartedness,good sisu,Spiritual
graciousness,good sisu,Spiritual
considerateness,good sisu,Spiritual
sufferance,good sisu,Spiritual
nobility,good sisu,Spiritual
toleration,good sisu,Spiritual
sustainable,good sisu,Spiritual
tolerable,good sisu,Spiritual
supportable,good sisu,Spiritual
bearable,good sisu,Spiritual
endurable,good sisu,Spiritual
manageable,good sisu,Spiritual
sufferable,good sisu,Spiritual
feasible,good sisu,Spiritual
workable,good sisu,Spiritual
livable,good sisu,Spiritual
acceptable,good sisu,Spiritual
admissible,good sisu,Spiritual
allowable,good sisu,Spiritual
passable,good sisu,Spiritual
brookable,good sisu,Spiritual
satisfactory,good sisu,Spiritual
justifiable,good sisu,Spiritual
defensible,good sisu,Spiritual
defendable,good sisu,Spiritual
forgivable,good sisu,Spiritual
excusable,good sisu,Spiritual
pardonable,good sisu,Spiritual
respectable,good sisu,Spiritual
tenable,good sisu,Spiritual
viable,good sisu,Spiritual
credible,good sisu,Spiritual
reasonable,good sisu,Spiritual
sound,good sisu,Spiritual
plausible,good sisu,Spiritual
achievable,good sisu,Spiritual
attainable,good sisu,Spiritual
possible,good sisu,Spiritual
doable,good sisu,Spiritual
maintainable,good sisu,Spiritual
rational,good sisu,Spiritual
practicable,good sisu,Spiritual
affordable,good sisu,Spiritual
able to hold water,good sisu,Spiritual
permissible,good sisu,Spiritual
permitted,good sisu,Spiritual
allowed,good sisu,Spiritual
sanctioned,good sisu,Spiritual
tolerated,good sisu,Spiritual
sustainability,good sisu,Spiritual
mercy,good sisu,Spiritual
merciless,bad sisu,Spiritual
ruthless,bad sisu,Spiritual
hard,bad sisu,Spiritual
callous,bad sisu,Spiritual
pitiless,bad sisu,Spiritual
heartless,bad sisu,Spiritual
cruel,bad sisu,Spiritual
unfeeling,bad sisu,Spiritual
harsh,bad sisu,Spiritual
inhuman,bad sisu,Spiritual
unsympathetic,bad sisu,Spiritual
unmerciful,bad sisu,Spiritual
remorseless,bad sisu,Spiritual
insensitive,bad sisu,Spiritual
unsparing,bad sisu,Spiritual
inhumane,bad sisu,Spiritual
brutal,bad sisu,Spiritual
uncharitable,bad sisu,Spiritual
severe,bad sisu,Spiritual
stony,bad sisu,Spiritual
obdurate,bad sisu,Spiritual
compassionless,bad sisu,Spiritual
indurate,bad sisu,Spiritual
fierce,bad sisu,Spiritual
soulless,bad sisu,Spiritual
affectless,bad sisu,Spiritual
unforgiving,bad sisu,Spiritual
ironhearted,bad sisu,Spiritual
stoney,bad sisu,Spiritual
stonyhearted,bad sisu,Spiritual
barbarous,bad sisu,Spiritual
pachydermatous,bad sisu,Spiritual
insensate,bad sisu,Spiritual
desensitised,bad sisu,Spiritual
desensitized,bad sisu,Spiritual
grim,bad sisu,Spiritual
inflexible,bad sisu,Spiritual
unrelenting,bad sisu,Spiritual
implacable,bad sisu,Spiritual
stern,bad sisu,Spiritual
uncompromising,bad sisu,Spiritual
unpitying,bad sisu,Spiritual
unyielding,bad sisu,Spiritual
inexorable,bad sisu,Spiritual
hardhearted,bad sisu,Spiritual
rigid,bad sisu,Spiritual
mean,bad sisu,Spiritual
unappeasable,bad sisu,Spiritual
intolerant,bad sisu,Spiritual
cutthroat,bad sisu,Spiritual
wanton,bad sisu,Spiritual
unflinching,bad sisu,Spiritual
illiberal,bad sisu,Spiritual
hard-hearted,bad sisu,Spiritual
cold-blooded,bad sisu,Spiritual
case-hardened,bad sisu,Spiritual
hard-boiled,bad sisu,Spiritual
thick-skinned,bad sisu,Spiritual
slash-and-burn,bad sisu,Spiritual
stony-hearted,bad sisu,Spiritual
take-no-prisoners,bad sisu,Spiritual
cut-throat,bad sisu,Spiritual
dog-eat-dog,bad sisu,Spiritual
iron-fisted,bad sisu,Spiritual
uncalled-for,bad sisu,Spiritual
mean machine,bad sisu,Spiritual
having a killer instinct,bad sisu,Spiritual
empathy,good sisu,Relationship
understanding,good sisu,Relationship
compassion,good sisu,Relationship
affinity,good sisu,Relationship
appreciation,good sisu,Relationship
rapport,good sisu,Relationship
sympathy,good sisu,Relationship
commiseration,good sisu,Relationship
feeling,good sisu,Relationship
identification,good sisu,Relationship
recognition,good sisu,Relationship
apprehension,good sisu,Relationship
cognizance,good sisu,Relationship
communion,good sisu,Relationship
conception,good sisu,Relationship
concord,good sisu,Relationship
consciousness,good sisu,Relationship
insight,good sisu,Relationship
perception,good sisu,Relationship
perceptivity,good sisu,Relationship
pity,good sisu,Relationship
responsiveness,good sisu,Relationship
apperception,good sisu,Relationship
assimilation,good sisu,Relationship
awareness,good sisu,Relationship
cognition,good sisu,Relationship
comprehension,good sisu,Relationship
concern,good sisu,Relationship
mindfulness,good sisu,Relationship
perceptiveness,good sisu,Relationship
regard,good sisu,Relationship
thoughtfulness,good sisu,Relationship
acquaintance,good sisu,Relationship
enlightenment,good sisu,Relationship
familiarity,good sisu,Relationship
intuition,good sisu,Relationship
knowing,good sisu,Relationship
knowingness,good sisu,Relationship
receptiveness,good sisu,Relationship
receptivity,good sisu,Relationship
warmth,good sisu,Relationship
fellow feeling,good sisu,Relationship
cottoning to,good sisu,Relationship
being on same wavelength,good sisu,Relationship
awareness of the feelings of others,good sisu,Relationship
sensibility,good sisu,Relationship
care,good sisu,Relationship
consideration,good sisu,Relationship
sensitiveness,good sisu,Relationship
patience,good sisu,Relationship
delicacy,good sisu,Relationship
kindliness,good sisu,Relationship
sensitivity,good sisu,Relationship
unity,good sisu,Relationship
soft skills,good sisu,Relationship
finer feelings,good sisu,Relationship
togetherness,good sisu,Relationship
involvement,good sisu,Relationship
good vibes,good sisu,Relationship
sympathetic cord,good sisu,Relationship
bond of sympathy,good sisu,Relationship
unrealistic,bad sisu,Spiritual
impractical,bad sisu,Spiritual
unworkable,bad sisu,Spiritual
impracticable,bad sisu,Spiritual
improbable,bad sisu,Spiritual
constructive,good sisu,Spiritual
productive,good sisu,Spiritual
helpful,good sisu,Spiritual
positive,good sisu,Spiritual
practical,good sisu,Spiritual
useful,good sisu,Spiritual
valuable,good sisu,Spiritual
beneficial,good sisu,Spiritual
effective,good sisu,Spiritual
encouraging,good sisu,Spiritual
formative,good sisu,Spiritual
profitable,good sisu,Spiritual
worthwhile,good sisu,Spiritual
advantageous,good sisu,Spiritual
fruitful,good sisu,Spiritual
of use,good sisu,Spiritual
rewarding,good sisu,Spiritual
good,good sisu,Spiritual
expedient,good sisu,Spiritual
gainful,good sisu,Spiritual
efficacious,good sisu,Spiritual
of assistance,good sisu,Spiritual
effectual,good sisu,Spiritual
serviceable,good sisu,Spiritual
of help,good sisu,Spiritual
efficient,good sisu,Spiritual
favourable,good sisu,Spiritual
successful,good sisu,Spiritual
favorable,good sisu,Spiritual
meritorious,good sisu,Spiritual
sound,good sisu,Spiritual
significant,good sisu,Spiritual
operative,good sisu,Spiritual
invaluable,good sisu,Spiritual
potent,good sisu,Spiritual
usable,good sisu,Spiritual
suitable,good sisu,Spiritual
appropriate,good sisu,Spiritual
of service,good sisu,Spiritual
worth it,good sisu,Spiritual
meaningful,good sisu,Spiritual
practicable,good sisu,Spiritual
workable,good sisu,Spiritual
conducive,good sisu,Spiritual
pragmatic,good sisu,Spiritual
worthy,good sisu,Spiritual
reasonable,good sisu,Spiritual
win-win,good sisu,Spiritual
solid,good sisu,Spiritual
lucrative,good sisu,Spiritual
powerful,good sisu,Spiritual
sensible,good sisu,Spiritual
remunerative,good sisu,Spiritual
instrumental,good sisu,Spiritual
feasible,good sisu,Spiritual
handy,good sisu,Spiritual
of value,good sisu,Spiritual
timely,good sisu,Spiritual
viable,good sisu,Spiritual
functional,good sisu,Spiritual
opportune,good sisu,Spiritual
propitious,good sisu,Spiritual
useable,good sisu,Spiritual
capable,good sisu,Spiritual
of benefit,good sisu,Spiritual
applicable,good sisu,Spiritual
adequate,good sisu,Spiritual
purposeful,good sisu,Spiritual
nifty,good sisu,Spiritual
supportive,good sisu,Spiritual
promising,good sisu,Spiritual
uplifting,good sisu,Spiritual
inspiring,good sisu,Spiritual
important,good sisu,Spiritual
influential,good sisu,Spiritual
gratifying,good sisu,Spiritual
paying,good sisu,Spiritual
advisable,good sisu,Spiritual
kindly,good sisu,Spiritual
realistic,good sisu,Spiritual
working,good sisu,Spiritual
not care,bad sisu,Spiritual
care,good sisu,Spiritual
downward,bad sisu,Spiritual
overachieving,bad sisu,Spiritual
benefactor,good sisu,Spiritual
patron,good sisu,Spiritual
donor,good sisu,Spiritual
sponsor,good sisu,Spiritual
backer,good sisu,Spiritual
contributor,good sisu,Spiritual
altruist,good sisu,Spiritual
giver,good sisu,Spiritual
Maecenas,good sisu,Spiritual
benefactress,good sisu,Spiritual
almsgiver,good sisu,Spiritual
helper,good sisu,Spiritual
humanitarian,good sisu,Spiritual
philanthrope,good sisu,Spiritual
promoter,good sisu,Spiritual
guarantor,good sisu,Spiritual
patroness,good sisu,Spiritual
do-gooder,good sisu,Spiritual
good Samaritan,good sisu,Spiritual
bleeding heart,good sisu,Spiritual
good scout,good sisu,Spiritual
philanthropist,good sisu,Spiritual
believe-in-yourself,good sisu,Spiritual
believe-in-yourself,good sisu,Spiritual
open-minded,good sisu,Spiritual
power,good sisu,Spiritual
persistance,good sisu,Spiritual
courageous,good sisu,Spiritual
heroic,good sisu,Spiritual
courage,good sisu,Spiritual
confident,good sisu,Spiritual
confidencefearless,good sisu,Spiritual
calm,good sisu,Spiritual
strong,good sisu,Spiritual
strength,good sisu,Spiritual
gentle,good sisu,Relationship
extraordinary,good sisu,Spiritual
perserverance,good sisu,Spiritual
integrity,good sisu,Spiritual
guts,good sisu,Spiritual
will,good sisu,Spiritual
consistent,good sisu,Spiritual
challenge,good sisu,Spiritual
magic,good sisu,Spiritual
determination,good sisu,Spiritual
victory,good sisu,Spiritual
future,good sisu,Spiritual
past,good sisu,Spiritual
grow,good sisu,Spiritual
learn,good sisu,Spiritual
relationship,good sisu,Relationship
healthy,good sisu,Spiritual
consciousness,good sisu,Spiritual
positivity,good sisu,Spiritual
honest,good sisu,Spiritual
attitude,good sisu,Spiritual
motivated,good sisu,Spiritual
proud,good sisu,Spiritual
pride,good sisu,Spiritual
energy,good sisu,Spiritual
resilience,good sisu,Spiritual
better,good sisu,Spiritual
positivity,good sisu,Spiritual
compromise,good sisu,Spiritual
kind,good sisu,Relationship
gratitude,good sisu,Spiritual
persevere,good sisu,Spiritual
persist,good sisu,Spiritual
caring,good sisu,Relationship
beauty,good sisu,Spiritual
improve,good sisu,Spiritual
healthy-living,good sisu,Spiritual
motivational,good sisu,Spiritual
Positive,good sisu,Spiritual
wise,good sisu,Spiritual
Powerful,good sisu,Spiritual
Good,good sisu,Spiritual
Better,good sisu,Spiritual
Integrity,good sisu,Spiritual
Self,good sisu,Spiritual
self,good sisu,Spiritual
honesty,good sisu,Spiritual
problem-solving,good sisu,Spiritual
leadership,good sisu,Spiritual
humility,good sisu,Spiritual
Discipline,good sisu,Spiritual
Moving Forward,good sisu,Spiritual
Mind,good sisu,Spiritual
self-motivation,good sisu,Spiritual
passion,good sisu,Spiritual
Wise,good sisu,Spiritual
Kindness,good sisu,Relationship
independent,good sisu,Spiritual
peace,good sisu,Spiritual
Gratitude,good sisu,Spiritual
enthusiasm,good sisu,Spiritual
hope,good sisu,Spiritual
hospitality,good sisu,Spiritual
optimistic,good sisu,Spiritual
Patient,good sisu,Spiritual
self-improvement,good sisu,Spiritual
personal-development,good sisu,Spiritual
self-awareness,good sisu,Spiritual
spiritual,good sisu,Spiritual
trust,good sisu,Spiritual
yourself,good sisu,Spiritual
victory,good sisu,Spiritual
gut-feelings,good sisu,Spiritual
gut-awareness,good sisu,Spiritual
gut-instincts,good sisu,Spiritual
self-esteem,good sisu,Spiritual
self-reflection,good sisu,Spiritual
perspective,good sisu,Spiritual
courage,good sisu,Relationship
answerable,good sisu,Relationship
reporting,good sisu,Relationship
responsible,good sisu,Relationship
obeying,good sisu,Relationship
subject,good sisu,Relationship
bound by,good sisu,Relationship
bound to obey,good sisu,Relationship
under the charge of,good sisu,Relationship
live,good sisu,Spiritual
exist,good sisu,Spiritual
endure,good sisu,Spiritual
prevail,good sisu,Spiritual
subsist,good sisu,Spiritual
persist,good sisu,Spiritual
be,good sisu,Spiritual
last,good sisu,Spiritual
remain,good sisu,Spiritual
fight for your life,good sisu,Spiritual
live on,good sisu,Spiritual
remain alive,good sisu,Spiritual
stay alive,good sisu,Spiritual
sustain oneself,good sisu,Spiritual
cling to life,good sisu,Spiritual
have life,good sisu,Spiritual
be alive,good sisu,Spiritual
be animate,good sisu,Spiritual
be in this world,good sisu,Spiritual
carry on,good sisu,Spiritual
walk the earth,good sisu,Spiritual
be extant,good sisu,Spiritual
draw breath,good sisu,Spiritual
have being,good sisu,Spiritual
stay around,good sisu,Spiritual
sustain life,good sisu,Spiritual
be in the land of the living,good sisu,Spiritual
cheat death,good sisu,Spiritual
escape death,good sisu,Spiritual
evade death,good sisu,Spiritual
hold on,good sisu,Spiritual
hold out,good sisu,Spiritual
keep afloat,good sisu,Spiritual
make it,good sisu,Spiritual
keep body and soul together,good sisu,Spiritual
keep your head above water,good sisu,Spiritual
existence,good sisu,Spiritual
viability,good sisu,Spiritual
being,good sisu,Spiritual
persistence,good sisu,Spiritual
staying alive,good sisu,Spiritual
subsistence,good sisu,Spiritual
being alive,good sisu,Spiritual
life span,good sisu,Spiritual
continued existence,good sisu,Spiritual
holding on to life,good sisu,Spiritual
life,good sisu,Spiritual
continuance,good sisu,Spiritual
essence,good sisu,Spiritual
animation,good sisu,Spiritual
presence,good sisu,Spiritual
breath,good sisu,Spiritual
consciousness,good sisu,Spiritual
sentience,good sisu,Spiritual
personage,good sisu,Spiritual
aliveness,good sisu,Spiritual
animateness,good sisu,Spiritual
creation,good sisu,Spiritual
growth,good sisu,Spiritual
actuality,good sisu,Spiritual
reality,good sisu,Spiritual
continuation,good sisu,Spiritual
corporality,good sisu,Spiritual
corporeality,good sisu,Spiritual
fact,good sisu,Spiritual
personhood,good sisu,Spiritual
beinghood,good sisu,Spiritual
living,good sisu,Spiritual
existing,good sisu,Spiritual
perseverance,good sisu,Spiritual
permanence,good sisu,Spiritual
journey,good sisu,Spiritual
esse,good sisu,Spiritual
quiddity,good sisu,Spiritual
individuality,good sisu,Spiritual
thingness,good sisu,Spiritual
continued survival,good sisu,Spiritual
impalpable,good sisu,Spiritual
imperceptible,good sisu,Spiritual
indistinguishable,good sisu,Spiritual
slight,good sisu,Spiritual
minute,good sisu,Spiritual
undetectable,good sisu,Spiritual
small,good sisu,Spiritual
fine,good sisu,Spiritual
inappreciable,good sisu,Spiritual
indiscernible,good sisu,Spiritual
unnoticeable,good sisu,Spiritual
indistinct,good sisu,Spiritual
faint,good sisu,Spiritual
unapparent,good sisu,Spiritual
inconspicuous,good sisu,Spiritual
indefinite,good sisu,Spiritual
vague,good sisu,Spiritual
unperceivable,good sisu,Spiritual
imperceivable,good sisu,Spiritual
illusive,good sisu,Spiritual
tenuous,good sisu,Spiritual
elusive,good sisu,Spiritual
implied,good sisu,Spiritual
sheer,good sisu,Spiritual
undistinguishable,good sisu,Spiritual
attenuate,good sisu,Spiritual
ethereal,good sisu,Spiritual
inferred,good sisu,Spiritual
attenuated,good sisu,Spiritual
thin,good sisu,Spiritual
barely visible,good sisu,Spiritual
hard to make out,good sisu,Spiritual
dedication,good sisu,Spiritual
determination,good sisu,Spiritual
diligence,good sisu,Spiritual
persistence,good sisu,Spiritual
resoluteness,good sisu,Spiritual
resolve,good sisu,Spiritual
application,good sisu,Spiritual
commitment,good sisu,Spiritual
devotion,good sisu,Spiritual
doggedness,good sisu,Spiritual
drive,good sisu,Spiritual
obstinacy,good sisu,Spiritual
pertinacity,good sisu,Spiritual
purposefulness,good sisu,Spiritual
resolution,good sisu,Spiritual
steadfastness,good sisu,Spiritual
tenacity,good sisu,Spiritual
assiduity,good sisu,Spiritual
assiduousness,good sisu,Spiritual
endurance,good sisu,Spiritual
grit,good sisu,Spiritual
indefatigability,good sisu,Spiritual
sedulity,good sisu,Spiritual
sedulousness,good sisu,Spiritual
stamina,good sisu,Spiritual
constancy,good sisu,Spiritual
continuance,good sisu,Spiritual
intransigence,good sisu,Spiritual
patience,good sisu,Spiritual
perseveration,good sisu,Spiritual
purpose,good sisu,Spiritual
stubbornness,good sisu,Spiritual
tirelessness,good sisu,Spiritual
backbone,good sisu,Spiritual
guts,good sisu,Spiritual
immovability,good sisu,Spiritual
insistence,good sisu,Spiritual
moxie,good sisu,Spiritual
pluck,good sisu,Spiritual
spunk,good sisu,Spiritual
stickability,good sisu,Spiritual
pursuance,good sisu,Spiritual
Sitzfleisch,good sisu,Spiritual
firmness of purpose,good sisu,Spiritual
staying power,good sisu,Spiritual
stick-to-itiveness,good sisu,Spiritual
stick-to-it-iveness,good sisu,Spiritual
firmness,good sisu,Spiritual
obduracy,good sisu,Spiritual
relentlessness,good sisu,Spiritual
fortitude,good sisu,Spiritual
indomitability,good sisu,Spiritual
obdurateness,good sisu,Spiritual
inflexibility,good sisu,Spiritual
bullheadedness,good sisu,Spiritual
mulishness,good sisu,Spiritual
single-mindedness,good sisu,Spiritual
pigheadedness,good sisu,Spiritual
contumacy,good sisu,Spiritual
implacability,good sisu,Spiritual
inexorability,good sisu,Spiritual
inexorableness,good sisu,Spiritual
earnestness,good sisu,Spiritual
intransigency,good sisu,Spiritual
rigidity,good sisu,Spiritual
adamancy,good sisu,Spiritual
grimness,good sisu,Spiritual
steadiness,good sisu,Spiritual
inflexibleness,good sisu,Spiritual
courage,good sisu,Spiritual
toughness,good sisu,Spiritual
implacableness,good sisu,Spiritual
